iter	Logloss
0	0.6847281542
1	0.6775406215
2	0.6700372212
3	0.6670388123
4	0.6624666538
5	0.6556826346
6	0.6497444341
7	0.6452317877
8	0.6402068913
9	0.6338544391
10	0.6276968181
11	0.6230109082
12	0.6192281293
13	0.6145323897
14	0.6112638332
15	0.6067127755
16	0.6013260706
17	0.5981728354
18	0.5925815599
19	0.588907021
20	0.5861750935
21	0.5834365172
22	0.5790977695
23	0.576573205
24	0.5720342242
25	0.5683815659
26	0.5631567728
27	0.5586546479
28	0.5545222042
29	0.5511887183
30	0.5482508364
31	0.5428890053
32	0.5402128213
33	0.5373172595
34	0.5345056997
35	0.5318333424
36	0.5280488129
37	0.5243293653
38	0.5212336697
39	0.5180496726
40	0.5152994449
41	0.512358297
42	0.5083437905
43	0.5043281975
44	0.5029308733
45	0.4997182004
46	0.4980836329
47	0.4953669803
48	0.4921389469
49	0.4896335501
50	0.4857482156
51	0.4825547899
52	0.4789069446
53	0.4753471036
54	0.4725739331
55	0.4702071375
56	0.4686727118
57	0.4665945718
58	0.4647385505
59	0.4630124631
60	0.4597744827
61	0.4581810082
62	0.4567323697
63	0.453948526
64	0.4516347307
