iter	Passed	Remaining
0	0	48
1	1	42
2	1	38
3	2	36
4	3	36
5	4	40
6	5	43
7	5	42
8	6	40
9	7	39
10	7	37
11	8	36
12	8	35
13	9	34
14	10	33
15	10	32
16	11	32
17	11	31
18	12	30
19	13	29
20	13	28
21	14	27
22	14	27
23	15	26
24	15	25
25	16	24
26	17	24
27	17	23
28	18	22
29	18	22
30	19	21
31	20	20
32	20	20
33	21	19
34	21	18
35	22	17
36	22	17
37	23	16
38	24	16
39	24	15
40	25	14
41	25	14
42	26	13
43	27	12
44	27	12
45	28	11
46	28	11
47	29	10
48	29	9
49	31	9
50	32	8
51	33	8
52	34	7
53	35	7
54	35	6
55	36	5
56	37	5
57	37	4
58	38	3
59	38	3
60	39	2
61	40	1
62	40	1
63	41	0
64	42	0
